idamostra;idade1;hdom1;licl4;lscl4;lscl3;lscl2;lscl1;is;nmudou;nis;s
137;64,19;24,80242238;19,93144989;22,48740142;25,096401;27,75482604;30,45957284;3;1;3;25,7
137;73,23;27,01106167;22,55674097;24,83266553;27,10212841;29,36570423;31,62387484;3;1;3;25,7
138;41;17,82829559;11,73372595;14,704626;18,05625296;21,79825444;25,93969302;3;1;3;25,7
138;51,54;22,98178728;15,68830668;18,56038447;21,62767941;24,88490864;28,32735357;2;1;2;28
138;64,19;25,81720259;19,93144989;22,48740142;25,096401;27,75482604;30,45957284;2;1;2;28
138;73,23;28,80185029;22,55674097;24,83266553;27,10212841;29,36570423;31,62387484;2;1;2;28
139;28,78;15,79873515;6,973673046;9,688996462;13,06800478;17,19441409;22,1542727;2;0;2;28
139;42,05;21,88741646;12,13970523;15,11115328;18,44195413;22,13895866;26,20856451;2;0;2;28
139;52,6;24,57359939;16,06751249;18,91921845;21,9510523;25,15738449;28,53320764;2;0;2;28
139;65,24;27,65773534;20,25425584;22,77893471;25,34820061;27,9588881;30,60829273;2;0;2;28
139;74,28;29,29929158;22,83914024;25,08161632;27,31247268;29,53276651;31,7433823;2;0;2;28
140;25,76;14,02784418;5,835328834;8,398974688;11,69811759;15,85251263;20,98909562;2;1;2;28
140;39,03;22,90219668;10,96754285;13,92968672;17,31427679;21,13732776;25,41406034;1;1;1;30,3
140;49,57;25,94653733;14,97332867;17,87908648;21,00980254;24,36124208;27,9295919;1;1;1;30,3
140;62,22;27,37916822;19,3132318;21,92644175;24,6098164;27,35893813;30,17000125;1;1;1;30,3
140;71,25;28,80185029;22,01151854;24,35026285;26,69317821;29,03991058;31,39016181;2;1;2;28
141;39,03;20,25580905;10,96754285;13,92968672;17,31427679;21,13732776;25,41406034;2;1;2;28
141;49,57;25,62817491;14,97332867;17,87908648;21,00980254;24,36124208;27,9295919;1;1;1;30,3
141;62,22;26,88172694;19,3132318;21,92644175;24,6098164;27,35893813;30,17000125;2;1;2;28
141;71,25;27,04090815;22,01151854;24,35026285;26,69317821;29,03991058;31,39016181;2;1;2;28
142;27,69;13,76917472;6,558898015;9,224176443;12,57943731;16,72033428;21,74623222;2;1;2;28
142;40,97;22,00680237;11,7220994;14,69294309;18,04513337;21,78840353;25,93189817;1;1;1;30,3
142;51,51;24,17564636;15,67751719;18,55014962;21,61843549;24,87710378;28,32144594;2;1;2;28
142;64,16;27,53834943;19,92215818;22,47899607;25,08913039;27,74892576;30,45526728;2;1;2;28
142;73,19;28,12533015;22,54589085;24,82308826;27,09402689;29,35926286;31,61926247;2;1;2;28
143;40,97;20,09662784;11,7220994;14,69294309;18,04513337;21,78840353;25,93189817;2;0;2;28
143;51,51;23,49912621;15,67751719;18,55014962;21,61843549;24,87710378;28,32144594;2;0;2;28
143;64,16;27,33937292;19,92215818;22,47899607;25,08913039;27,74892576;30,45526728;2;0;2;28
143;73,19;28,70236204;22,54589085;24,82308826;27,09402689;29,35926286;31,61926247;2;0;2;28
144;28,75;13,4906076;6,962206634;9,676221632;13,05464882;17,18151763;22,14322301;2;0;2;28
144;42,02;20,05683254;12,12813277;15,09960292;18,43102797;22,12933345;26,20098776;2;0;2;28
144;52,56;24,37462287;16,05327504;18,90577644;21,93896369;25,14721788;28,52554028;2;0;2;28
144;65,21;27,33937292;20,24509776;22,77067661;25,34107803;27,9531233;30,60409636;2;0;2;28
144;74,24;28,00594424;22,82846735;25,0722187;27,30454097;29,52647311;31,73888446;2;0;2;28
145;42,02;20,71345503;12,12813277;15,09960292;18,43102797;22,12933345;26,20098776;2;0;2;28
145;52,56;24,87206416;16,05327504;18,90577644;21,93896369;25,14721788;28,52554028;2;0;2;28
145;65,21;27,30952644;20,24509776;22,77067661;25,34107803;27,9531233;30,60409636;2;0;2;28
145;74,24;28,62277143;22,82846735;25,0722187;27,30454097;29,52647311;31,73888446;2;0;2;28
146;27,69;12,63500859;6,558898015;9,224176443;12,57943731;16,72033428;21,74623222;2;1;2;28
146;40,97;17,50993317;11,7220994;14,69294309;18,04513337;21,78840353;25,93189817;3;1;3;25,7
146;51,51;22,94199198;15,67751719;18,55014962;21,61843549;24,87710378;28,32144594;2;1;2;28
