"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"581";145;42,02;20,7134550293041;12,1281327687638;15,0996029158941;18,4310279663238;22,1293334500018;26,2009877607291;2;0;2
"582";145;52,56;24,872064156225;16,0532750449863;18,905776437319;21,9389636933462;25,1472178791757;28,5255402760092;2;0;2
"583";145;65,21;27,309526443535;20,2450977638815;22,7706766061119;25,3410780344159;27,9531233004721;30,6040963636359;2;0;2
"584";145;74,24;28,6227714309837;22,828467345212;25,0722186994747;27,3045409745855;29,5264731149143;31,7388844583873;2;0;2
"585";146;27,69;12,6350085913623;6,55889801511935;9,22417644299252;12,5794373089158;16,7203342778753;21,7462322150437;2;1;2
"586";146;40,97;17,5099331659824;11,7220993993002;14,6929430853857;18,0451333738462;21,7884035262246;25,931898169946;3;1;3
"587";146;51,51;22,9419919777019;15,6775171890833;18,5501496249315;21,6184354918613;24,8771037777509;28,3214459433779;2;1;2
"588";146;64,16;24,0562604519008;19,9221581837282;22,4789960698112;25,0891303853659;27,7489257582225;30,4552672845828;3;1;3
"589";146;73,19;26,1952579693361;22,5458908460167;24,8230882553788;27,0940268946174;29,3592628580087;31,6192624689966;3;1;3
"590";147;40,97;15,918121059984;11,7220993993002;14,6929430853857;18,0451333738462;21,7884035262246;25,931898169946;3;2;3
"591";147;51,51;22,3848577406025;15,6775171890833;18,5501496249315;21,6184354918613;24,8771037777509;28,3214459433779;2;2;2
