"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"414";111;26,45;15,3808844742095;6,09223600903573;8,69417034952536;12,0155335835136;16,1670087649483;21,2650470520015;2;0;2
"415";111;36,73;18,7634851994561;10,0680083253426;13,0059970120469;16,4176084128781;20,3284435847536;24,7631976931766;2;0;2
"416";111;50,56;24,0761581032258;15,334255664326;18,2237988231464;21,3230756581382;24,6272540801788;28,1320010014773;2;0;2
"417";111;62,39;26,9812151966728;19,367223944962;21,975573593669;24,6525450426538;27,3937853185622;30,1955462700663;2;0;2
"418";112;37,58;16,7140271129832;10,4008652032423;13,3496262518311;16,7528074023726;20,6321704383909;25,0085891860014;3;1;3
"419";112;51,41;22,6435272078272;15,6415297341571;18,5160020618447;21,5875857397561;24,8510501682691;28,3017210421867;2;1;2
"420";112;63,24;27,0807034532977;19,6353652393233;22,2191767688368;24,8640839341227;27,5660689706967;30,3216806293718;2;1;2
"421";113;27,3;11,918693143663;6,41148473194553;9,05758674603448;12,4029982339669;16,5479285945752;21,5968844062218;3;0;3
"422";113;37,58;16,0971999219088;10,4008652032423;13,3496262518311;16,7528074023726;20,6321704383909;25,0085891860014;3;0;3
"423";113;51,41;20,4945808647294;15,6415297341571;18,5160020618447;21,5875857397561;24,8510501682691;28,3017210421867;3;0;3
"424";113;63,24;23,5190238661263;19,6353652393233;22,2191767688368;24,8640839341227;27,5660689706967;30,3216806293718;3;0;3
"425";114;37,58;13,5105052496614;10,4008652032423;13,3496262518311;16,7528074023726;20,6321704383909;25,0085891860014;3;1;3
"426";114;51,41;18,6440992915062;15,6415297341571;18,5160020618447;21,5875857397561;24,8510501682691;28,3017210421867;3;1;3
"427";114;63,24;21,3501798717035;19,6353652393233;22,2191767688368;24,8640839341227;27,5660689706967;30,3216806293718;4;1;4
"428";115;27,17;10,4661645969395;6,36247305885335;9,00203177346521;12,3439968062354;16,49013055874;21,5466998464243;3;0;3
"429";115;37,45;15,2217032636097;10,349981884946;13,2972390038181;16,7018319401794;20,5860861678344;24,9714344009828;3;0;3
"430";115;51,28;20,2259625718421;15,5946944984096;18,4715379833551;21,5473966015739;24,8170942729432;28,2760030027718;3;0;3
"431";115;63,11;23,7180003793761;19,5945521880133;22,1821413600317;24,8319570764072;27,5399290971682;30,3025598304624;3;0;3
"432";116;23,39;12,7543944993122;4,97107954553823;7,38605732942608;10,5890770891811;14,7352297702348;19,9935109632523;2;0;2
"433";116;35,41;18,3655321729565;9,55068222746342;12,4674087319667;15,8881872358503;19,8453406437303;24,3703341777969;2;0;2
"434";116;48,92;23,797590984676;14,7346324614991;17,6502094680689;20,8010498274641;24,1833960573615;27,7938552781748;2;0;2
"435";116;60,02;25,1008871464622;18,6036556512965;21,2781744016302;24,0439954590511;26,8959517712472;29,8295629714265;2;0;2
"436";116;72,37;27,7870700753345;22,3219705671744;24,6252317027778;26,9265002931893;29,2259500919566;31,5237270570181;2;0;2
"437";116;83,87;30,1449417573446;25,2073063926154;27,1461284063045;29,0392603478948;30,8915949135032;32,7071559431376;2;0;2
"438";117;22,47;12,7742921506371;4,64444638516657;6,99435354738014;10,1511833741857;14,2856028667756;19,5857695716379;2;0;2
"439";117;34,33;17,3706496067075;9,12752239034783;12,0225486487406;15,4470110416648;19,4394810838929;24,0378024599345;2;0;2
"440";117;47,83;21,2108963124286;14,331409683033;17,2618940096184;20,4454771850378;23,8793686112235;27,5610363020438;2;0;2
"441";117;58,71;26,3842856569234;18,1716706825335;20,8811180916353;23,695524093657;26,6093705545569;29,6178530880627;2;0;2
"442";117;70,76;28,6028737796587;21,87401805845;24,2282327581687;26,5894411521687;28,9570568565409;31,3305855495272;2;0;2
"443";117;81,57;29,299291576033;24,6733599697314;26,6841332698274;28,6554854434216;30,5915010485262;32,4955518613391;2;0;2
"444";118;22,47;13,1324498744868;4,64444638516657;6,99435354738014;10,1511833741857;14,2856028667756;19,5857695716379;2;1;2
"445";118;34,33;18,3058392189816;9,12752239034783;12,0225486487406;15,4470110416648;19,4394810838929;24,0378024599345;2;1;2
"446";118;47,83;23,9567721952759;14,331409683033;17,2618940096184;20,4454771850378;23,8793686112235;27,5610363020438;1;1;1
"447";118;58,71;26,4638762622234;18,1716706825335;20,8811180916353;23,695524093657;26,6093705545569;29,6178530880627;2;1;2
"448";118;70,76;28,7023620362836;21,87401805845;24,2282327581687;26,5894411521687;28,9570568565409;31,3305855495272;2;1;2
"449";118;81,57;30,1946858856571;24,6733599697314;26,6841332698274;28,6554854434216;30,5915010485262;32,4955518613391;2;1;2
"450";119;22,47;12,7742921506371;4,64444638516657;6,99435354738014;10,1511833741857;14,2856028667756;19,5857695716379;2;1;2
"451";119;34,33;17,3706496067075;9,12752239034783;12,0225486487406;15,4470110416648;19,4394810838929;24,0378024599345;2;1;2
"452";119;47,83;23,9766698466009;14,331409683033;17,2618940096184;20,4454771850378;23,8793686112235;27,5610363020438;1;1;1
"453";119;58,71;25,6679702092242;18,1716706825335;20,8811180916353;23,695524093657;26,6093705545569;29,6178530880627;2;1;2
"454";119;70,76;28,324306661109;21,87401805845;24,2282327581687;26,5894411521687;28,9570568565409;31,3305855495272;2;1;2
"455";119;81,57;28,9809291548333;24,6733599697314;26,6841332698274;28,6554854434216;30,5915010485262;32,4955518613391;2;1;2
"456";120;23,46;14,7839549344601;4,99615223951841;7,41591017735031;10,6222328642623;14,7690701552975;20,0240289282629;1;1;1
"457";120;35,32;20,3552973054545;9,51540773762192;12,4304768617971;15,8516976071255;19,8118869051102;24,3430113641058;1;1;1
"458";120;48,82;23,9368745439509;14,6977916297;17,6148189218126;20,768716841723;24,1558076975953;27,7727692138912;2;1;2
"459";120;59,69;27,6577353417221;18,495494908308;21,178932270197;23,9570350242969;26,8245400559516;29,7768790707007;1;1;1
"460";120;71,75;29,6773469512076;22,1507718714578;24,4736946436346;26,7979879522465;29,1235340295625;31,4502338145522;1;1;1
"461";120;82,56;30,8413595537189;24,9057612121637;26,8854587058844;28,822906807345;30,7225474040631;32,5880412568704;1;1;1
"462";121;23,46;11,8391025383631;4,99615223951841;7,41591017735031;10,6222328642623;14,7690701552975;20,0240289282629;2;1;2
"463";121;35,32;17,0124918828579;9,51540773762192;12,4304768617971;15,8516976071255;19,8118869051102;24,3430113641058;2;1;2
"464";121;48,82;24,2353393138256;14,6977916297;17,6148189218126;20,768716841723;24,1558076975953;27,7727692138912;1;1;1
"465";121;59,69;26,4937227392108;18,495494908308;21,178932270197;23,9570350242969;26,8245400559516;29,7768790707007;2;1;2
"466";121;71,75;28,9809291548333;22,1507718714578;24,4736946436346;26,7979879522465;29,1235340295625;31,4502338145522;2;1;2
