"idfustemed";"ntorasisc";"sdtorasisc";"dminisc";"toraminisc";"vtocoi";"vprodisc";"vti"
4837;4;42,1668885592525;5,57954915716797;2,9;0,00214930628756898;0,203598800452002;0,210229034531942
4838;4;49,8066406505453;5,71041049249282;5,00000000000001;0,00287921165849163;0,292708210919138;0,299555001581536
4839;3;26,4064742658997;5,62143187686447;3,8;0,00127859252503118;0,101429293946156;0,109339864274292
4840;4;54,2729957808979;6,39508891361921;5,6;0,00330223483090507;0,348483236533887;0,35740952079957
4841;3;30,8519744929207;6,11930692619803;5,6;0,00169287125098661;0,146962690335251;0,156324632768012
4842;4;61,1503079202486;7,65443539940357;5,6;0,00409191801876397;0,43993676968562;0,453497652643526
4843;4;44,8797633577694;5,55419790743315;3,8;0,00239839863397709;0,233875810555095;0,24033859696893
4844;4;51,2984752423262;5,50270880163746;5,6;0,00304370400452443;0,313710794468915;0,320071337824334
4845;4;48,3431366082952;5,63089820624501;4,70000000000001;0,002732872169288;0,274748752310931;0,281383871116922
4846;4;41,9418902183549;5,52506191858655;2,9;0,00213170262084087;0,201613063724904;0,20808164495712
4847;3;30,9585915481763;6,15049317846464;5,6;0,00170276955928521;0,147950351188646;0,157442616921831
4848;4;51,8624434470866;5,63381768029647;5,6;0,00309917805498908;0,320340050143184;0,327018481534044
4849;4;49,0075464940669;5,78140236662432;4,70000000000001;0,00279496485044201;0,28196144889232;0,289004542043088
4850;4;45,9178577999783;5,55810867876762;4,1;0,00249744559458715;0,245902850221726;0,252357752251537
4851;4;52,3213338089656;5,73774463407844;5,6;0,00314503771428805;0,325795912307873;0,332736422926728
4852;4;48,5511197571725;5,67511258948817;4,70000000000001;0,00275278709361229;0,277012217037875;0,28376407042228
4853;4;43,7106677699426;5,50653778167532;3,5;0,00229175131826266;0,22101131099573;0,227364295247806
4854;3;32,8417692025441;6,71722832783802;5,6;0,00187897075212152;0,165893067140056;0,178010589162926
4855;2;15,4780432710563;5,63030228009912;5,30000000000001;0,000837304491881347;0,0533732170549425;0,0623427753957503
4856;3;32,7550243704467;6,69303417520429;5,6;0,00187030582807011;0,165037922326781;0,177040347683166
4857;3;32,4990173509863;6,6149216112733;5,6;0,00184613403471102;0,162547839870456;0,174162638611136
4858;3;29,0467532193602;5,56502456430016;5,6;0,00153366367976482;0,130814718253351;0,138010340569276
4859;4;46,608221919272;5,72051533465582;4,1;0,00255784101957656;0,252881310262188;0,259788035035682
4860;3;29,7605657681926;5,78630135634539;5,6;0,00159544621281664;0,137081919998051;0,145098721994932
4861;4;45,6717972608342;5,73860311916596;3,8;0,00246653044548198;0,241654951963498;0,248643048546146
4862;4;50,1485388550464;5,78425819104632;5,00000000000001;0,00291260140624119;0,296565881974808;0,303610301888544
4863;4;53,712663033088;5,8981586337509;5,6;0,003313147609032;0,343317910497045;0,350654264907841
4864;4;42,634140138666;5,68571794318894;2,9;0,00218752664024464;0,20780417037058;0,214753476693993
4865;4;47,7646820896042;5,74812153036637;4,40000000000001;0,00267043678655831;0,266710682772089;0,273675988106969
4866;4;46,608221919272;5,72051533465582;4,1;0,00255784101957656;0,252881310262188;0,259788035035682
4867;3;32,462382817132;6,72720493624248;5,6;0,0018190228648277;0,161814187199293;0,174364667749085
4868;4;47,735841372143;5,77816577102837;4,1;0,0026991185622463;0,265759922450863;0,272736068767686
4869;4;51,7727022914866;5,68513258828811;5,6;0,00307814506268667;0,318966268888074;0,32578225349623
4870;4;41,4886003709765;5,60963322600169;3,2;0,0020211563821063;0,196401640509676;0,203423543389147
4871;4;42,3021265474056;5,69842910648575;2,9;0,0021411336117297;0,204154741896315;0,21122477991383
4872;4;46,8176678508477;5,66702582544214;4,1;0,00259628492088396;0,255634742721428;0,262345105038071
4873;3;30,6520322186353;6,17047793825729;5,6;0,00165463941043004;0,14479724575133;0,154643882101549
4874;4;48,6043417285723;5,74522074921575;4,40000000000001;0,00278511489800801;0,276767691945198;0,28364953508368
4875;4;42,7700886597498;5,52373951264512;3,5;0,00216739886402557;0,210728343560371;0,217277115911457
4876;4;51,1011774193938;5,61139280332023;5,6;0,00299881192395409;0,310745540252685;0,317385856254747
4877;4;43,9818619379398;5,68023953747215;3,5;0,00229195328875569;0,222838319274645;0,229763431480114
4878;1;12,6853505471898;11,8790766776152;4,4;0,00167765839669288;0,0573312061614166;0,0590088645581095
4879;4;43,2554114801348;5,72602804445356;3,2;0,00222346305245347;0,214362459687918;0,221477121229899
4880;3;27,2297939168985;5,5339666276786;5,00000000000001;0,00132974733563488;0,112236850862622;0,119925894929443
4881;4;44,0541782755726;5,6843916103974;3,5;0,00230056462694392;0,223606388550832;0,230534852231463
4882;3;25,0351170532395;5,54897532144063;3,5;0,00112715579337367;0,0895794004907809;0,0978746759294756
4883;4;41,5849043700041;5,57869341400194;2,9;0,00207412684458348;0,197460645276133;0,204200464223937
4884;4;43,7079946801835;5,60853830881784;3,5;0,00227089910565083;0,220312292809606;0,227018152147385
4885;4;43,5029942496557;5,56651621560997;3,5;0,0022528175127349;0,218353742096499;0,224940740239859
4886;4;42,030082562233;5,67104183522052;2,9;0,00211166018931375;0,201468420109964;0,208485811741604
4887;2;15,8731197307233;5,96635688577123;5,6;0,000849062613388023;0,0570722260163341;0,0685743157858104
4888;4;44,5056122845451;5,55324417903131;3,8;0,00234977424395739;0,229712553017729;0,236216544167569
4889;3;30,581516322201;6,21237771390356;5,6;0,00163692130443003;0,143968117302256;0,154164285046782
4890;3;24,5465460266449;5,52950051556156;3,2;0,00108521546136465;0,0850825854165353;0,091025621009918
4891;4;59,2206740278146;7,1196913529401;5,6;0,00390183776704072;0,414175088854044;0,425421623015732
4892;3;31,2884609984643;6,4117963082145;5,6;0,00170316852079504;0,150535389894956;0,161627366216952
4893;3;32,061176456601;6,63191929828387;5,6;0,00177663624014297;0,157875714163624;0,170017923240256
4894;4;51,4405546847785;5,64120768721412;5,30000000000001;0,00307776877928515;0,31417494345718;0,320827390325211
4895;4;50,3960457089663;5,79894019117274;5,00000000000001;0,00294395062069751;0,299570833422442;0,306643084797403
4896;4;40,0328320763191;5,63380713937423;2,3;0,00193349027990489;0,180900923913573;0,187961638761162
4897;4;39,4792441427937;5,51485601795907;2,3;0,00188973918939316;0,176265499169394;0,182953975037704
4898;4;49,5327713685312;5,61611057346701;5,00000000000001;0,00285878919014884;0,289809801124169;0,29640303253403
4899;4;43,7079946801835;5,60853830881784;3,5;0,00227089910565083;0,220312292809606;0,227018152147385
4900;4;50,7341189157483;5,59402587678488;5,30000000000001;0,00298863976146156;0,305464974862661;0,312013829858028
4901;4;46,0556644572771;5,65269653993553;4,1;0,00249755224777574;0,246920852403234;0,253664784434501
4902;3;30,4955486584488;6,18877709093116;5,6;0,00162883533431553;0,143177659181173;0,153272693197387
