"idfustemed";"ntorasicc";"sdtorasicc";"dminicc";"toraminicc";"vtocoi";"vprodicc";"vti"
4957;4;48,5775927657389;8,43826755821818;3,3;0,00227813078061294;0,158275471522891;0,180896142482389
4958;5;60,4546521854393;7,56013275832285;2,6;0,00254969300497819;0,195493135309189;0,210813896015596
4959;4;48,8253228212095;8,50140344787866;3,3;0,00229674863278608;0,159847260484109;0,182966391822698
4960;5;66,9701818957078;8,3019251499429;3,3;0,00303469233012167;0,243687725558183;0,263092376491434
4961;5;60,2066990724893;7,69401802673363;2,3;0,00252699551395686;0,192004328905823;0,208285998267026
4962;4;44,0381904463894;7,5253912773756;2,9;0,00193886133334763;0,128395399226451;0,144748231447177
4963;4;44,1603996934649;7,55771801152544;2,9;0,00194699586793474;0,129076939294069;0,145642245877521
4964;4;45,2165702792702;7,59893725292797;3,3;0,0020301253714988;0,137709939562041;0,154401802725868
4965;4;49,3520803255698;8,63330938741142;3,3;0,00233716894665631;0,163221741861897;0,187391015063636
4966;4;44,1603996934649;7,55771801152544;2,9;0,00194699586793474;0,129076939294069;0,137266442814062
4967;2;19,9962279276263;8,57703753611229;3,3;0,00128335948403375;0,0532018909318758;0,0758872605463852
4968;4;50,1023399112398;8,81896268178422;3,3;0,0023959405850518;0,168096275601523;0,193779182278013
4969;5;62,9661458203416;7,63041305957037;3,3;0,0027285761645043;0,216077691645461;0,231531039656625
4970;4;45,3414922125352;7,62880386645273;3,3;0,00203935784796659;0,138450850761217;0,155329222056038
4971;4;47,1698262654809;8,08859407195832;3,3;0,00217187802459412;0,14947605123826;0,169500620787114
4972;5;60,6107228485184;7,58987082838599;2,6;0,00256004135771957;0,196455208882577;0,211952264152887
4973;5;60,0628681149577;7,66584856152926;2,3;0,0025177377669651;0,19113894527366;0,207244861521625
4974;4;50,1023399112398;8,81896268178422;3,3;0,0023959405850518;0,168096275601523;0,193779182278013
4975;4;46,5218395433656;7,92549224572196;3,3;0,00212440777230576;0,145518532219788;0,164388084078405
4976;4;49,5927821044687;8,69254006069544;3,3;0,00235601407304682;0,164778291400945;0,189422415768747
4977;5;63,5619164309788;7,59596286908804;2,6;0,00292044081359694;0,217878988304511;0,23168406575122
4978;3;30,1004823186495;7,53590193588161;3,2;0,00146649131407942;0,0801017412397421;0,0899582546276783
4979;5;65,7841733700519;8,48523562033697;3,3;0,00283807244930177;0,233881917610603;0,256494751755764
4980;5;63,6216728009224;7,88682889244576;3,3;0,0027388098279348;0,21992817231626;0,237440869783519
4981;6;78,2623370825291;7,66079010718338;2;0,00319445572431004;0,274910666728161;0,289879417448261
4982;5;67,937122875255;8,52875266769381;3,3;0,00309270045209025;0,250349064319558;0,271537109263256
4983;5;60,5087995313256;7,50094311232804;3,3;0,00247735807489711;0,198933430144687;0,214774333752244
4984;5;66,3619301011734;8,59092998116403;3,3;0,00287965516355333;0,23789314368634;0,261312985154306
4985;4;42,9415935614632;7,55578257508598;2,6;0,00182498521651633;0,120108023830502;0,137388858233999
4986;6;84,179806393113;7,61707928333711;2,6;0,00376035189064093;0,323763573791724;0,337078311534744
4987;5;60,7347137781432;7,60632102236699;2,9;0,00252780847555757;0,19842291056799;0,214495065966025
4988;5;63,6506155756939;7,54985387264018;3,2;0,00284622555394084;0,221010392667373;0,235227036814997
4989;5;60,4433311347469;7,55530890633146;2,6;0,00254968028652054;0,195436095617306;0,210718977557288
4990;5;65,4320115749567;8,21426371406943;3,3;0,00286882528899123;0,232226734506353;0,25188101402692
4991;5;62,677598107807;7,70164583736658;3,3;0,00267592932064401;0,213703122232768;0,23001916587911
4992;5;64,0467174818636;7,87693626698111;3,3;0,0027922284013415;0,223114364008518;0,240221664833161
4993;5;66,1696078907831;8,22034676792797;3,3;0,00295770148800231;0,237827380130981;0,256962100205583
4994;4;46,061475254299;8,11550027623168;3,3;0,00202336607843437;0,142058626129177;0,163869526978325
4995;6;88,2545116945107;7,64132472333705;2,3;0,00430372424045863;0,357587620448967;0,369942155170882
4996;4;48,8709378168685;8,73690561204996;3,3;0,00224910696270276;0,159641972557472;0,186043620980366
4997;5;60,3372327169308;7,69338360397547;2,6;0,00249900413390546;0,194038715133241;0,210762884548684
4998;5;58,756587343907;7,60835531158701;2,3;0,00237889198279171;0,182362833354875;0,198881194044739
4999;4;43,8026285721991;7,61656891062374;3,3;0,00185066347563256;0,128673010238969;0,147157280497939
5000;5;57,6858784522964;7,60113368465309;2;0,0022978375055551;0,174096341674737;0,190835914051642
5001;5;61,7007863969743;7,55756809230424;3,2;0,00261267622098681;0,20674943546394;0,222177375925101
