"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1106;43,01;21,2;15,7;6,68;0,252
1176;47;25,35;15,7;8,82;0,215
1176;47;25,35;16,9;7,96;0,223
1106;43,01;21,2;16,9;6,37;0,418
1176;47;25,35;18,1;7,38;0,197
1106;43,01;21,2;18,1;5,73;0,432
1176;47;25,35;19,3;6,53;0,199
1106;43,01;21,2;19,3;4,04;0,129
1106;43,01;21,2;20,5;1,27;0,118
1176;47;25,35;20,5;5,79;0,205
1176;47;25,35;21,7;4,87;0,23
1176;47;25,35;22,9;3,76;0,17
1176;47;25,35;24,1;2,07;0,116
1176;47;25,35;24,8;0,95;0,078
1177;42,79;23,1;0,1;16,23;0,715
1107;37,79;19,9;0,1;14,55;1,207
1107;37,79;19,9;0,7;12,41;0,567
1177;42,79;23,1;0,7;14,32;0,525
1177;42,79;23,1;1,3;13,62;0,521
1107;37,79;19,9;1,3;12,03;0,638
1177;42,79;23,1;2,5;13,15;0,379
1107;37,79;19,9;2,5;11,52;0,441
1107;37,79;19,9;3,7;10,98;0,341
1177;42,79;23,1;3,7;12,25;0,268
1177;42,79;23,1;4,9;12;0,266
1107;37,79;19,9;4,9;10,03;0,349
1107;37,79;19,9;6,1;9,68;0,343
1177;42,79;23,1;6,1;11,78;0,243
1107;37,79;19,9;7,3;9,07;0,33
1177;42,79;23,1;7,3;11,05;0,216
1177;42,79;23,1;8,5;10,5;0,222
1107;37,79;19,9;8,5;8,66;0,33
1107;37,79;19,9;9,7;7,96;0,257
1177;42,79;23,1;9,7;9,93;0,231
1177;42,79;23,1;10,9;9,42;0,223
1107;37,79;19,9;10,9;7,48;0,248
1107;37,79;19,9;12,1;6,78;0,272
