"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1093;36,51;21,15;4,9;9,99;0,2985
1093;36,51;21,15;6,1;9,49;0,3275
1163;27,49;11,9;6,1;6,11;0,184
1163;27,49;11,9;7,3;5,19;0,198
1093;36,51;21,15;7,3;9,17;0,261
1093;36,51;21,15;8,5;8,59;0,26
1163;27,49;11,9;8,5;5,03;0,171
1093;36,51;21,15;9,7;8,02;0,21
1163;27,49;11,9;9,7;3,31;0,155
1093;36,51;21,15;10,9;7,54;0,1735
1163;27,49;11,9;10,9;1,4;0,073
1093;36,51;21,15;12,1;7;0,202
1093;36,51;21,15;13,3;6,3;0,1585
1093;36,51;21,15;14,5;5,7;0,174
1093;36,51;21,15;15,7;5,12;0,1965
1093;36,51;21,15;16,9;4,46;0,1605
1093;36,51;21,15;18,1;3,79;0,1475
1093;36,51;21,15;19,3;2,74;0,115
1093;36,51;21,15;20,5;1,27;0,1175
1164;23,5;13,8;0,1;9,45;0,377
1094;43,61;23,63;0,1;17,19;0,8575
1094;43,61;23,63;0,7;14,51;0,5825
1164;23,5;13,8;0,7;7,96;0,246
1094;43,61;23,63;1,3;13,88;0,5975
1164;23,5;13,8;1,3;7,48;0,212
1094;43,61;23,63;2,5;13,69;0,5475
1164;23,5;13,8;2,5;6,91;0,148
1164;23,5;13,8;3,7;6,37;0,148
1094;43,61;23,63;3,7;12,99;0,3195
1164;23,5;13,8;4,9;5,95;0,134
1094;43,61;23,63;4,9;12,48;0,205
1094;43,61;23,63;6,1;11,87;0,298
1164;23,5;13,8;6,1;5,54;0,117
1094;43,61;23,63;7,3;11,4;0,3245
1164;23,5;13,8;7,3;5,03;0,116
1094;43,61;23,63;8,5;11,08;0,2685
1164;23,5;13,8;8,5;4,36;0,111
1094;43,61;23,63;9,7;10,44;0,2495
1164;23,5;13,8;9,7;3,82;0,104
1094;43,61;23,63;10,9;9,68;0,236
1164;23,5;13,8;10,9;3,28;0,105
1164;23,5;13,8;12,1;2,39;0,1
1094;43,61;23,63;12,1;9,23;0,229
1164;23,5;13,8;13,3;1,11;0,084
1094;43,61;23,63;13,3;8,91;0,236
1094;43,61;23,63;14,5;8,12;0,2055
1094;43,61;23,63;15,7;7,48;0,2255
1094;43,61;23,63;16,9;6,68;0,2075
1094;43,61;23,63;18,1;5,89;0,1865
1094;43,61;23,63;19,3;5,22;0,1945
1094;43,61;23,63;20,5;4,77;0,19
1094;43,61;23,63;21,7;3,5;0,175
1094;43,61;23,63;22,9;1,88;0,106
1094;43,61;23,63;23,3;0,64;0,0575
1165;33,49;17;0,1;11,97;0,934
1095;37,2;22,5;0,1;14,48;0,76
1165;33,49;17;0,7;11,3;0,614
1095;37,2;22,5;0,7;12,48;0,5235
1095;37,2;22,5;1,3;11,84;0,4385
1165;33,49;17;1,3;10,66;0,526
1165;33,49;17;2,5;10,03;0,382
1095;37,2;22,5;2,5;11,3;0,4465
1095;37,2;22,5;3,7;10,92;0,365
1165;33,49;17;3,7;9,29;0,396
1165;33,49;17;4,9;8,88;0,295
1095;37,2;22,5;4,9;10,6;0,2975
1095;37,2;22,5;6,1;10,06;0,232
1165;33,49;17;6,1;8,05;0,18
1095;37,2;22,5;7,3;9,8;0,285
1165;33,49;17;7,3;7,32;0,135
1165;33,49;17;8,5;6,78;0,169
1095;37,2;22,5;8,5;9,23;0,22
1095;37,2;22,5;9,7;8,69;0,185
1165;33,49;17;9,7;5,73;0,12
1165;33,49;17;10,9;5,22;0,116
1095;37,2;22,5;10,9;8,12;0,185
1095;37,2;22,5;12,1;7,83;0,1775
1165;33,49;17;12,1;4,62;0,114
1095;37,2;22,5;13,3;7,13;0,1675
1165;33,49;17;13,3;3,79;0,129
1095;37,2;22,5;14,5;6,56;0,176
1165;33,49;17;14,5;3,15;0,116
1095;37,2;22,5;15,7;5,86;0,152
1165;33,49;17;15,7;2,45;0,107
1165;33,49;17;16,5;0,83;0,06
1095;37,2;22,5;16,9;5,38;0,1565
1095;37,2;22,5;18,1;4,68;0,167
1095;37,2;22,5;19,3;4,23;0,1395
1095;37,2;22,5;20,5;3,06;0,127
1095;37,2;22,5;21,7;1,53;0,1115
1095;37,2;22,5;22;0,95;0,076
1166;42,51;22,3;0,1;16,55;0,596
1096;44,39;23,06;0,1;18,46;1,3305
1166;42,51;22,3;0,7;14,01;0,499
1096;44,39;23,06;0,7;15,25;1,0195
1096;44,39;23,06;1,3;14,13;0,742
1166;42,51;22,3;1,3;13,53;0,345
1096;44,39;23,06;2,5;13,46;0,5945
1166;42,51;22,3;2,5;12,48;0,211
1096;44,39;23,06;3,7;12,89;0,4485
1166;42,51;22,3;3,7;12,03;0,224
1166;42,51;22,3;4,9;11,75;0,185
1096;44,39;23,06;4,9;12,25;0,4505
1166;42,51;22,3;6,1;11,08;0,189
1096;44,39;23,06;6,1;11,78;0,308
1096;44,39;23,06;7,3;11,14;0,278
1166;42,51;22,3;7,3;10,6;0,166
1166;42,51;22,3;8,5;9,93;0,165
1096;44,39;23,06;8,5;10,76;0,283
1166;42,51;22,3;9,7;9,55;0,149
1096;44,39;23,06;9,7;10,03;0,2495
1096;44,39;23,06;10,9;9,36;0,251
1166;42,51;22,3;10,9;9,33;0,162
1166;42,51;22,3;12,1;8,53;0,14
1096;44,39;23,06;12,1;8,88;0,217
1096;44,39;23,06;13,3;8,5;0,2585
1166;42,51;22,3;13,3;7,89;0,159
1096;44,39;23,06;14,5;7,96;0,291
1166;42,51;22,3;14,5;7,58;0,157
1096;44,39;23,06;15,7;7,32;0,266
1166;42,51;22,3;15,7;6,91;0,166
1096;44,39;23,06;16,9;6,62;0,2285
1166;42,51;22,3;16,9;6,08;0,183
1096;44,39;23,06;18,1;5,86;0,223
1166;42,51;22,3;18,1;5,32;0,151
1096;44,39;23,06;19,3;4,58;0,1975
1166;42,51;22,3;19,3;4,3;0,118
1096;44,39;23,06;20,5;3,72;0,1745
1166;42,51;22,3;20,5;2,99;0,181
1166;42,51;22,3;21,7;1,05;0,103
1096;44,39;23,06;21,7;2,48;0,1265
1096;44,39;23,06;22,6;0,95;0,076
1167;39,49;19,9;0,1;15,53;0,895
1097;42,69;23,15;0,1;17,25;0,975
1167;39,49;19,9;0,7;12,99;0,881
1097;42,69;23,15;0,7;14,42;0,7415
1167;39,49;19,9;1,3;12,57;0,656
1097;42,69;23,15;1,3;13,59;0,575
1097;42,69;23,15;2,5;13,11;0,486
1167;39,49;19,9;2,5;11,36;0,466
1097;42,69;23,15;3,7;12,61;0,322
1167;39,49;19,9;3,7;10,41;0,408
1097;42,69;23,15;4,9;12,35;0,285
1167;39,49;19,9;4,9;10,09;0,284
1167;39,49;19,9;6,1;9,64;0,311
1097;42,69;23,15;6,1;11,68;0,3165
1097;42,69;23,15;7,3;11,4;0,233
1167;39,49;19,9;7,3;9,2;0,189
1097;42,69;23,15;8,5;10,66;0,2445
1167;39,49;19,9;8,5;8,5;0,147
1097;42,69;23,15;9,7;10,09;0,2115
1167;39,49;19,9;9,7;7,99;0,185
1097;42,69;23,15;10,9;9,39;0,211
1167;39,49;19,9;10,9;7,64;0,144
1167;39,49;19,9;12,1;7;0,178
1097;42,69;23,15;12,1;8,85;0,2005
1167;39,49;19,9;13,3;6,14;0,158
1097;42,69;23,15;13,3;8,44;0,1835
1167;39,49;19,9;14,5;5,32;0,138
1097;42,69;23,15;14,5;7,54;0,26
1167;39,49;19,9;15,7;4,68;0,146
1097;42,69;23,15;15,7;6,94;0,194
1167;39,49;19,9;16,9;3,88;0,146
