"arv";"dap";"ht";"hi";"dicc";"disc"
104;40,74;18,92;8,51;27,69;25,89
104;40,74;18,92;10,4;24,35;23,25
104;40,74;18,92;12,29;19,54;18,54
104;40,74;18,92;14,19;14,32;13,82
104;40,74;18,92;16,08;9,23;9,03
104;40,74;18,92;17,97;2,23;2,23
108;34,5;16,4;0,08;44;38,2
108;34,5;16,4;0,16;42,16;36,86
108;34,5;16,4;0,32;39,87;34,57
108;34,5;16,4;0,49;37,81;32,91
108;34,5;16,4;0,65;36,65;32,15
108;34,5;16,4;0,82;36,33;31,83
108;34,5;16,4;1,64;34,7;30,7
108;34,5;16,4;2,46;34,06;30,06
108;34,5;16,4;4,1;30,88;26,88
108;34,5;16,4;5,74;29,28;26,08
108;34,5;16,4;7,38;26,55;24,35
108;34,5;16,4;9,02;21,96;20,36
108;34,5;16,4;10,66;18,72;17,72
108;34,5;16,4;12,3;10,95;10,35
108;34,5;16,4;13,94;6,81;6,41
108;34,5;16,4;15,58;2,64;2,44
111;25,31;12,59;0;36,63;29,63
111;25,31;12,59;0,13;34,28;29,28
111;25,31;12,59;0,25;33,2;28,2
111;25,31;12,59;0,38;29,47;25,27
111;25,31;12,59;0,5;27,73;24,03
111;25,31;12,59;0,63;25,51;23,01
111;25,31;12,59;1,26;25,02;22,92
111;25,31;12,59;1,89;20,09;18,09
111;25,31;12,59;3,15;19,39;17,69
111;25,31;12,59;4,41;17,89;16,29
111;25,31;12,59;5,67;16,65;15,45
111;25,31;12,59;6,93;14,99;13,79
111;25,31;12,59;8,18;9,9;8,9
111;25,31;12,59;9,44;5,03;4,53
111;25,31;12,59;10,7;4,14;3,94
111;25,31;12,59;11,96;1,85;1,65
114;40,62;16,47;0,07;47,42;39,92
114;40,62;16,47;0,16;46,43;38,93
114;40,62;16,47;0,33;44,04;37,34
114;40,62;16,47;0,49;42,44;35,94
114;40,62;16,47;0,66;40,66;34,76
114;40,62;16,47;0,82;39,41;33,71
114;40,62;16,47;1,65;39,31;33,61
114;40,62;16,47;2,47;36,13;30,83
114;40,62;16,47;4,12;32,34;29,44
114;40,62;16,47;5,76;30,37;27,67
114;40,62;16,47;7,44;27,98;25,28
114;40,62;16,47;9,06;27,28;24,58
114;40,62;16,47;10,71;21,68;19,38
114;40,62;16,47;12,39;14,29;13,09
114;40,62;16,47;14,06;7,42;6,82
114;40,62;16,47;15,65;2,32;2,12
116;19,93;14,66;0,06;26,48;19,68
116;19,93;14,66;0,14;24,61;18,81
116;19,93;14,66;0,29;23,78;19,68
116;19,93;14,66;0,43;22,57;19,47
116;19,93;14,66;0,58;21,45;18,45
116;19,93;14,66;0,73;21,17;18,87
116;19,93;14,66;1,46;19,42;17,32
116;19,93;14,66;2,19;18,68;16,68
116;19,93;14,66;3,65;17,06;15,26
116;19,93;14,66;5,12;15,63;13,93
116;19,93;14,66;6,58;14,42;13,12
116;19,93;14,66;8,04;12,73;11,73
116;19,93;14,66;9,51;11,55;10,85
116;19,93;14,66;10,97;8,91;8,41
116;19,93;14,66;12,43;3,44;3,04
116;19,93;14,66;13,89;1,75;1,55
117;30,24;18,64;0,12;39,22;27,22
117;30,24;18,64;0,18;36,35;26,35
117;30,24;18,64;0,37;35,33;27,83
117;30,24;18,64;0,55;32,95;26,85
117;30,24;18,64;0,74;30,88;27,88
117;30,24;18,64;0,93;30,56;27,86
117;30,24;18,64;1,86;28,3;25,9
117;30,24;18,64;2,79;26,96;24,96
117;30,24;18,64;4,66;24,38;22,38
117;30,24;18,64;6,52;22,28;20,48
117;30,24;18,64;8,38;21,29;19,99
117;30,24;18,64;10,25;17,98;16,98
117;30,24;18,64;12,11;15,18;14,58
117;30,24;18,64;13,93;10,82;10,22
117;30,24;18,64;15,88;6,18;5,78
117;30,24;18,64;17,7;2,67;2,47
120;19,42;12,14;0,09;32,56;22,56
120;19,42;12,14;0,12;30,18;22,18
120;19,42;12,14;0,24;27,25;20,75
120;19,42;12,14;0,36;23,68;17,18
120;19,42;12,14;0,48;23,24;19,24
120;19,42;12,14;0,6;19,86;16,86
120;19,42;12,14;1,21;19,67;17,67
120;19,42;12,14;1,82;19,23;17,63
120;19,42;12,14;3,03;17,48;16,08
120;19,42;12,14;4,25;16,39;15,29
120;19,42;12,14;5,46;15,76;14,96
120;19,42;12,14;6,67;12,99;12,39
120;19,42;12,14;7,89;10,95;10,55
120;19,42;12,14;9,1;8,59;8,39
120;19,42;12,14;10,35;4,78;4,58
120;19,42;12,14;11,55;2,45;2,25
121;15,88;11,8;0,06;23,27;15,27
121;15,88;11,8;0,11;21,74;15,74
121;15,88;11,8;0,23;20,85;16,85
121;15,88;11,8;0,35;19,23;15,23
121;15,88;11,8;0,47;18,62;15,02
121;15,88;11,8;0,59;18,4;15,1
121;15,88;11,8;1,18;17,03;14,83
121;15,88;11,8;1,77;14,8;12,8
121;15,88;11,8;2,95;14,64;12,64
121;15,88;11,8;4,13;11,71;10,41
121;15,88;11,8;5,31;10,44;9,44
121;15,88;11,8;6,49;10,12;9,72
121;15,88;11,8;7,67;9,55;9,15
121;15,88;11,8;8,8;7,39;7,19
121;15,88;11,8;10,03;3,76;3,56
121;15,88;11,8;11,21;1,91;1,71
122;35,81;16,2;0,06;45,52;34,52
122;35,81;16,2;0,16;42,97;34,67
122;35,81;16,2;0,32;41,16;33,56
122;35,81;16,2;0,48;40,17;32,77
122;35,81;16,2;0,64;39,22;33,42
122;35,81;16,2;0,81;37,72;33,12
122;35,81;16,2;1,62;35,4;31,6
122;35,81;16,2;2,43;33,07;29,87
122;35,81;16,2;4,05;29,79;26,89
122;35,81;16,2;5,67;28,23;25,93
122;35,81;16,2;7,41;25,91;23,81
122;35,81;16,2;8,91;19,64;17,74
122;35,81;16,2;10,53;15,92;14,62
122;35,81;16,2;12,15;10,76;9,86
122;35,81;16,2;14,25;5,44;5,04
122;35,81;16,2;15,39;2,07;1,87
123;13,85;12;0,04;26,1;13,6
123;13,85;12;0,12;23,91;13,91
123;13,85;12;0,24;21,23;13,23
123;13,85;12;0,36;19,39;13,39
123;13,85;12;0,48;17,92;12,02
123;13,85;12;0,6;16,87;11,87
123;13,85;12;1,2;14,39;11,09
123;13,85;12;1,8;13,43;11,13
123;13,85;12;3;12,1;10,4
123;13,85;12;4,2;11,4;10,3
123;13,85;12;5,4;9,33;8,53
123;13,85;12;6,6;7,58;7,08
123;13,85;12;7,8;6,84;6,44
123;13,85;12;9;5,73;5,53
123;13,85;12;10,2;3,66;3,46
123;13,85;12;11,4;1,69;1,49
124;16,39;12,17;0,14;24,7;16,7
124;16,39;12,17;0,16;21,96;14,46
124;16,39;12,17;0,24;21,45;15,45
124;16,39;12,17;0,36;20,47;15,77
124;16,39;12,17;0,48;20,05;16,35
124;16,39;12,17;0,6;19,42;16,82
124;16,39;12,17;1,21;16,97;14,57
124;16,39;12,17;1,82;16,07;14,07
124;16,39;12,17;3,04;14,93;13,23
124;16,39;12,17;4,3;13,4;12,4
124;16,39;12,17;5,47;12,41;11,61
124;16,39;12,17;6,69;11,52;10,92
124;16,39;12,17;7,91;11,33;10,93
124;16,39;12,17;9,12;7,04;6,84
124;16,39;12,17;10,38;3,12;2,92
124;16,39;12,17;11,56;1,27;1,07
125;45,2;21,18;0,13;61,75;47,55
125;45,2;21,18;0,21;55,83;43,93
125;45,2;21,18;0,42;54,05;43,15
125;45,2;21,18;0,63;52,14;42,54
125;45,2;21,18;0,84;49,21;40,81
125;45,2;21,18;1,05;47,75;40,35
125;45,2;21,18;2,11;43,32;36,62
125;45,2;21,18;3,17;41,32;35,72
125;45,2;21,18;5,29;37,94;33,24
125;45,2;21,18;7,41;31,96;28,76
125;45,2;21,18;9,53;30,65;28,25
125;45,2;21,18;11,64;26,71;24,51
125;45,2;21,18;13,76;21,1;19,6
125;45,2;21,18;15,88;15,57;14,47
125;45,2;21,18;18,07;8,88;8,18
125;45,2;21,18;20,12;3,98;3,58
129;34,09;16,21;0,09;44,56;35,76
129;34,09;16,21;0,16;43,19;35,99
129;34,09;16,21;0,32;41,16;33,96
129;34,09;16,21;0,49;38,55;31,45
129;34,09;16,21;0,65;37,24;30,24
129;34,09;16,21;0,81;36,19;29,59
129;34,09;16,21;1,62;33,39;28,09
129;34,09;16,21;2,43;31,32;27,02
129;34,09;16,21;4,05;28,78;25,08
129;34,09;16,21;5,69;28,65;25,35
129;34,09;16,21;7,29;24,32;21,92
129;34,09;16,21;8,89;21,2;19,6
129;34,09;16,21;10,54;16,04;14,54
129;34,09;16,21;12,16;10,25;9,45
129;34,09;16,21;13,78;6,53;6,13
129;34,09;16,21;15,4;2,96;2,76
131;46,06;19,21;0,13;53,73;45,03
131;46,06;19,21;0,19;50,93;42,23
131;46,06;19,21;0,38;49,85;41,15
131;46,06;19,21;0,58;48,26;39,76
131;46,06;19,21;0,77;46,09;37,69
131;46,06;19,21;0,96;46,09;39,59
131;46,06;19,21;1,92;43,39;37,39
131;46,06;19,21;2,88;41,95;36,45
131;46,06;19,21;4,8;38,77;34,97
131;46,06;19,21;6,72;37,18;33,48
131;46,06;19,21;8,64;33,2;29,8
131;46,06;19,21;10,57;29,79;27,09
131;46,06;19,21;12,49;25,4;23,5
131;46,06;19,21;14,41;20,4;18,9
131;46,06;19,21;16,33;10,66;9,76
131;46,06;19,21;18,25;2,13;1,93
133;18,21;18,43;0,05;22,06;17,46
133;18,21;18,43;0,18;20,69;16,09
133;18,21;18,43;0,36;19,61;15,01
133;18,21;18,43;0,55;19,42;14,82
133;18,21;18,43;0,73;19,42;15,32
133;18,21;18,43;0,92;18,3;15,1
133;18,21;18,43;1,84;17,44;14,44
133;18,21;18,43;2,76;17,28;15,58
133;18,21;18,43;4,6;15,92;14,92
133;18,21;18,43;6,45;14,51;13,71
133;18,21;18,43;8,29;13,15;12,35
133;18,21;18,43;10,13;11,78;11,18
133;18,21;18,43;11,97;9,61;9,01
133;18,21;18,43;13,82;7,64;7,34
133;18,21;18,43;15,66;5,86;5,66
133;18,21;18,43;17,5;3,25;3,05
136;10,63;14,14;0,04;14,64;10,54
136;10,63;14,14;0,14;14,01;9,91
136;10,63;14,14;0,28;12,89;8,89
136;10,63;14,14;0,42;12,41;9,11
136;10,63;14,14;0,56;11,59;8,59
136;10,63;14,14;0,7;11,46;8,86
136;10,63;14,14;1,41;10,92;9,12
136;10,63;14,14;2,12;9,93;8,33
136;10,63;14,14;3,53;8,72;7,72
136;10,63;14,14;4,94;8,02;7,22
136;10,63;14,14;6,36;7,04;6,44
136;10,63;14,14;7,77;6,18;5,68
136;10,63;14,14;9,19;5,35;4,95
136;10,63;14,14;10,6;4,62;4,42
136;10,63;14,14;12,01;3,92;3,72
136;10,63;14,14;13,43;2,23;2,23
141;22,95;15,33;0,07;30,49;23,99
141;22,95;15,33;0,15;28,74;22,64
141;22,95;15,33;0,31;28,3;22,3
141;22,95;15,33;0,46;26,83;20,93
141;22,95;15,33;0,61;25,56;20,16
141;22,95;15,33;0,77;24,51;19,81
141;22,95;15,33;1,53;22,95;18,65
141;22,95;15,33;2,3;21,9;18,6
141;22,95;15,33;3,83;19,67;17,67
141;22,95;15,33;5,37;17,41;15,51
141;22,95;15,33;6,9;17,09;15,29
141;22,95;15,33;8,51;13,66;12,46
141;22,95;15,33;9,96;11,87;10,87
141;22,95;15,33;11,5;9,3;8,6
141;22,95;15,33;13,03;5,67;5,07
141;22,95;15,33;14,56;2,1;1,9
143;34,63;18,27;0,03;47,27;33,87
143;34,63;18,27;0,18;42,05;29,75
143;34,63;18,27;0,37;40,23;28,43
143;34,63;18,27;0,55;37,56;26,56
143;34,63;18,27;0,73;36,86;26,36
143;34,63;18,27;0,91;35,94;28,64
143;34,63;18,27;1,83;32,44;25,64
143;34,63;18,27;2,74;30,4;25,9
143;34,63;18,27;4,57;27,79;25,49
143;34,63;18,27;6,42;25,46;23,36
143;34,63;18,27;8,22;24,03;21,93
143;34,63;18,27;10,05;20,98;18,98
143;34,63;18,27;11,88;17,32;15,52
143;34,63;18,27;13,77;11,68;10,38
143;34,63;18,27;15,53;5,09;4,49
143;34,63;18,27;17,36;2,04;1,84
144;43,8;21,55;0,12;60,48;50,48
144;43,8;21,55;0,22;52,04;42,04
144;43,8;21,55;0,43;48,61;39,11
144;43,8;21,55;0,65;46,66;38,86
144;43,8;21,55;0,86;45,74;37,94
144;43,8;21,55;1,08;44,82;37,32
144;43,8;21,55;2,15;41,06;34,06
144;43,8;21,55;3,23;38,01;32,41
144;43,8;21,55;5,39;34,03;30,03
144;43,8;21,55;7,54;31,26;27,66
144;43,8;21,55;9,7;28,65;26,05
144;43,8;21,55;11,85;26,07;24,37
144;43,8;21,55;14,01;23,05;21,55
144;43,8;21,55;16,16;17,86;16,46
144;43,8;21,55;18,36;9,45;8,55
144;43,8;21,55;20,47;2,55;2,35
151;28,65;20,94;0,07;34,46;29,76
151;28,65;20,94;0,21;32,57;28,27
151;28,65;20,94;0,42;30,22;26,52
151;28,65;20,94;0,63;29,08;25,78
151;28,65;20,94;0,84;27,95;25,15
151;28,65;20,94;1,05;27,95;25,15
151;28,65;20,94;2,09;27,85;25,75
151;28,65;20,94;3,14;26,36;24,46
151;28,65;20,94;5,24;25,62;24,22
151;28,65;20,94;7,33;24,16;22,96
151;28,65;20,94;9,42;23,14;22,04
151;28,65;20,94;11,52;20,24;19,54
151;28,65;20,94;13,61;18,3;17,8
151;28,65;20,94;15,7;15,28;14,88
151;28,65;20,94;17,8;9,14;8,94
151;28,65;20,94;19,85;3,82;3,62
152;44,12;21,29;0,02;58,62;49,02
152;44,12;21,29;0,21;53,06;44,56
152;44,12;21,29;0,43;48,32;41,22
152;44,12;21,29;0,64;46,37;40,17
152;44,12;21,29;0,85;45,76;39,66
152;44,12;21,29;1,07;45,37;39,57
152;44,12;21,29;2,13;44,09;39,89
152;44,12;21,29;3,19;41,83;37,83
152;44,12;21,29;5,4;38,29;35,79
152;44,12;21,29;7,45;34,85;32,55
152;44,12;21,29;9,58;32,47;30,37
152;44,12;21,29;11,71;27,15;26,15
152;44,12;21,29;13,84;23,3;22,6
152;44,12;21,29;15,97;16,93;16,33
152;44,12;21,29;18,1;9,96;9,56
152;44,12;21,29;20,23;4,14;3,84
155;18,46;15,27;0,08;22,31;17,51
155;18,46;15,27;0,15;22,21;17,51
155;18,46;15,27;0,31;20,51;16,01
155;18,46;15,27;0,46;19,56;15,06
155;18,46;15,27;0,61;19,42;15,22
155;18,46;15,27;0,76;18,77;14,67
155;18,46;15,27;1,53;18,43;15,93
155;18,46;15,27;2,29;16,58;14,08
155;18,46;15,27;3,82;14,96;12,56
155;18,46;15,27;5,34;12,61;10,91
155;18,46;15,27;6,87;11,78;10,18
155;18,46;15,27;8,4;11,05;9,95
155;18,46;15,27;9,93;8,72;7,82
155;18,46;15,27;11,45;7,26;6,56
155;18,46;15,27;12,98;5,16;4,56
155;18,46;15,27;14,51;2,48;2,08
156;20,21;17,48;0,05;28,86;24,06
156;20,21;17,48;0,17;26,88;22,38
156;20,21;17,48;0,35;23,32;19,32
156;20,21;17,48;0,52;21,77;18,27
156;20,21;17,48;0,7;21,23;17,73
156;20,21;17,48;0,87;20,78;17,28
156;20,21;17,48;1,75;20,53;18,53
156;20,21;17,48;2,62;18,46;16,46
156;20,21;17,48;4,37;16,9;15
156;20,21;17,48;6,12;16,62;14,92
156;20,21;17,48;7,87;14,13;13,13
156;20,21;17,48;9,61;12,32;11,42
156;20,21;17,48;11,36;11,3;10,5
156;20,21;17,48;13,11;10,19;9,59
156;20,21;17,48;14,86;6,56;6,06
156;20,21;17,48;16,61;2,55;2,35
157;44,66;22,74;0,02;59,11;50,61
157;44,66;22,74;0,23;54,9;47,4
157;44,66;22,74;0,45;50,83;44,53
157;44,66;22,74;0,68;48,08;42,18
157;44,66;22,74;0,91;47,44;41,54
157;44,66;22,74;1,14;45,83;40,33
157;44,66;22,74;2,27;42,34;38,04
157;44,66;22,74;3,41;40,65;36,75
157;44,66;22,74;5,68;37,88;34,98
157;44,66;22,74;7,96;35,21;32,71
157;44,66;22,74;10,23;32,44;30,74
157;44,66;22,74;12,51;28,9;27,4
157;44,66;22,74;14,78;20,94;19,54
157;44,66;22,74;17,06;16,81;16,11
157;44,66;22,74;19,33;10,63;10,23
157;44,66;22,74;21,6;2,9;2,7
158;30,02;18,92;0,02;36,67;30,27
158;30,02;18,92;0,19;33,28;27,28
158;30,02;18,92;0,38;31,89;26,29
158;30,02;18,92;0,57;30,61;25,31
158;30,02;18,92;0,76;30,38;25,08
158;30,02;18,92;0,95;29,97;24,67
158;30,02;18,92;1,89;29,92;26,32
158;30,02;18,92;2,84;27,22;24,02
158;30,02;18,92;4,73;25,37;22,77
158;30,02;18,92;6,62;23,46;21,36
158;30,02;18,92;8,51;22;20,2
158;30,02;18,92;10,41;20,02;18,52
158;30,02;18,92;12,3;17,63;16,43
158;30,02;18,92;14,1;14,01;12,81
158;30,02;18,92;16,16;7,1;6,6
158;30,02;18,92;17,97;4,01;3,61
162;49,02;27,22;0,05;59,29;50,29
162;49,02;27,22;0,27;54,97;46,47
162;49,02;27,22;0,54;52,76;44,56
162;49,02;27,22;0,81;51,58;43,58
162;49,02;27,22;1,08;50,43;43,23
162;49,02;27,22;1,36;48,38;41,98
162;49,02;27,22;2,72;45,52;40,02
162;49,02;27,22;4,08;44,5;40,3
162;49,02;27,22;6,8;41,7;38,8
162;49,02;27,22;9,52;38,83;36,43
162;49,02;27,22;12,24;32,56;30,36
162;49,02;27,22;14,97;27,85;25,85
162;49,02;27,22;17,69;24,61;23,21
162;49,02;27,22;20,41;16,23;15,63
162;49,02;27,22;23,13;9,87;9,47
162;49,02;27,22;25,85;4,46;4,26
164;37,43;20,56;0,03;44,02;38,52
164;37,43;20,56;0,2;40,75;35,75
164;37,43;20,56;0,41;40,17;35,17
164;37,43;20,56;0,61;37,79;32,79
164;37,43;20,56;0,82;37,3;32,4
164;37,43;20,56;1,02;36,48;32,18
164;37,43;20,56;2,05;36,13;32,63
164;37,43;20,56;3,08;35,01;31,51
164;37,43;20,56;5,14;32,56;29,06
164;37,43;20,56;7,19;30,18;26,68
164;37,43;20,56;9,25;27,15;24,05
164;37,43;20,56;11,3;23,62;21,32
164;37,43;20,56;13,36;20,09;18,49
164;37,43;20,56;15,42;14,96;13,86
164;37,43;20,56;17,47;8,66;7,96
164;37,43;20,56;19,53;2,36;2,06
167;29,79;18,45;0,05;35,18;30,08
167;29,79;18,45;0,18;33,69;29,09
167;29,79;18,45;0,36;32,03;27,53
167;29,79;18,45;0,55;30,7;26,2
167;29,79;18,45;0,73;29,66;25,46
167;29,79;18,45;0,92;29,18;25,18
167;29,79;18,45;1,84;28,74;25,74
167;29,79;18,45;2,76;28,33;25,33
167;29,79;18,45;4,61;26,55;24,05
167;29,79;18,45;6,5;23,17;21,07
167;29,79;18,45;8,4;21,17;19,77
167;29,79;18,45;10,14;19;17,7
167;29,79;18,45;11,99;17,76;16,86
167;29,79;18,45;13,83;12,92;12,32
167;29,79;18,45;15,68;7,96;7,56
167;29,79;18,45;17,52;2,29;2,09
168;40,62;20,45;0,03;54,55;47,75
168;40,62;20,45;0,2;48,27;42,27
168;40,62;20,45;0,4;45,13;39,63
168;40,62;20,45;0,61;42,51;38,01
168;40,62;20,45;0,81;41,74;37,24
168;40,62;20,45;1,02;41,42;36,92
168;40,62;20,45;2,04;40,49;36,99
168;40,62;20,45;3,06;37,56;34,56
168;40,62;20,45;5,11;35,01;32,01
168;40,62;20,45;7,15;32,85;31,05
168;40,62;20,45;9,2;30,33;28,53
168;40,62;20,45;11,24;27,72;26,72
168;40,62;20,45;13,29;24,64;23,74
168;40,62;20,45;15,33;18,14;17,44
168;40,62;20,45;17,38;9,55;9,15
168;40,62;20,45;19,42;2,52;2,32
169;19,89;13,55;0,05;25,26;22,76
169;19,89;13,55;0,13;24,94;22,44
169;19,89;13,55;0,27;23,19;20,69
169;19,89;13,55;0,4;21,88;19,58
169;19,89;13,55;0,54;19,81;17,51
169;19,89;13,55;0,67;18,87;16,87
169;19,89;13,55;1,35;18,56;17,56
169;19,89;13,55;2,03;16,9;15,9
169;19,89;13,55;3,38;15,6;14,6
169;19,89;13,55;4,74;14,64;13,64
169;19,89;13,55;6,09;14,58;13,58
169;19,89;13,55;7,45;14,42;13,52
169;19,89;13,55;8,77;11,71;10,81
169;19,89;13,55;10,1;8,66;8,06
169;19,89;13,55;11,51;4,17;3,97
169;19,89;13,55;12,87;1,59;1,59
172;33,3;20,2;0,04;37,81;31,61
172;33,3;20,2;0,2;35,62;30,02
172;33,3;20,2;0,4;34,78;29,28
172;33,3;20,2;0,6;34,47;28,97
172;33,3;20,2;0,8;33,33;28,33
172;33,3;20,2;1,01;32,25;27,95
172;33,3;20,2;2,02;32,15;28,45
172;33,3;20,2;3,03;31,83;28,33
172;33,3;20,2;5,05;28,71;25,41
172;33,3;20,2;7,07;27,15;24,05
172;33,3;20,2;9,09;23,55;22,35
172;33,3;20,2;11,11;21,9;21
172;33,3;20,2;13,13;17,51;16,91
172;33,3;20,2;15,15;13,69;13,09
172;33,3;20,2;17,17;7,8;7,4
172;33,3;20,2;19,19;2,93;2,73
173;50,29;20,42;0,09;57,07;51,57
173;50,29;20,42;0,2;53,15;47,65
173;50,29;20,42;0,4;51,15;46,15
173;50,29;20,42;0,61;49,79;44,79
173;50,29;20,42;0,81;48,77;43,77
173;50,29;20,42;1,02;47,61;42,91
173;50,29;20,42;2,04;46,15;42,05
173;50,29;20,42;3,06;44,28;40,68
173;50,29;20,42;5,1;40,74;37,24
173;50,29;20,42;7,14;37,62;34,52
173;50,29;20,42;9,18;35,65;32,75
173;50,29;20,42;11,23;31,26;28,96
173;50,29;20,42;13,2;25,18;23,38
173;50,29;20,42;15,37;18,53;17,43
173;50,29;20,42;17,4;10,63;10,03
173;50,29;20,42;19,39;3,5;3,3
174;39,79;21,25;0,07;53,43;47,43
174;39,79;21,25;0,21;48,47;43,67
174;39,79;21,25;0,42;45,88;41,38
174;39,79;21,25;0,63;42,95;39,15
174;39,79;21,25;0,85;39,72;36,92
174;39,79;21,25;1,06;38,63;36,13
174;39,79;21,25;2,12;38,58;36,98
174;39,79;21,25;3,18;36,61;35,01
174;39,79;21,25;5,31;34,79;33,39
174;39,79;21,25;7,5;30,59;29,59
174;39,79;21,25;9,56;27,37;26,57
174;39,79;21,25;11,68;23,05;22,45
174;39,79;21,25;13,81;19,67;19,07
174;39,79;21,25;15,93;13,15;12,75
174;39,79;21,25;18,06;6,37;6,17
174;39,79;21,25;20,18;2,39;2,39
175;29,6;21;0,05;31,62;26,32
175;29,6;21;0,21;30,92;25,62
175;29,6;21;0,42;29,35;24,35
175;29,6;21;0,63;28,71;23,71
175;29,6;21;0,84;28,33;23,33
175;29,6;21;1,05;28,17;23,27
175;29,6;21;2,1;28,04;24,14
175;29,6;21;3,15;26,42;22,72
175;29,6;21;5,25;22,76;20,06
175;29,6;21;7,35;21,33;19,63
175;29,6;21;9,45;19,42;17,92
175;29,6;21;11,55;17,44;16,24
175;29,6;21;13,65;14,45;13,55
175;29,6;21;15,7;13,11;12,51
175;29,6;21;17,85;7,32;6,92
175;29,6;21;19,95;2,04;2,04
178;24,57;17;0,01;27,16;22,66
178;24,57;17;0,17;26,15;21,65
178;24,57;17;0,34;25,35;20,85
178;24,57;17;0,51;24,68;20,18
178;24,57;17;0,68;24,49;19,99
178;24,57;17;0,85;24,24;19,74
178;24,57;17;1,7;23,87;19,87
178;24,57;17;2,5;23,3;19,3
178;24,57;17;4,25;20,44;16,74
178;24,57;17;5,95;18,78;15,08
178;24,57;17;7,65;16,77;14,77
178;24,57;17;9,35;15,37;13,37
178;24,57;17;11,05;12,76;11,26
178;24,57;17;12,75;9,01;8,21
178;24,57;17;14,45;5,79;5,39
178;24,57;17;16,15;2,32;2,32
179;51,57;19,35;0,05;67,98;56,98
179;51,57;19,35;0,19;57,27;49,97
179;51,57;19,35;0,38;53,49;46,89
179;51,57;19,35;0,58;52,65;46,15
179;51,57;19,35;0,77;52,65;46,15
179;51,57;19,35;0,96;51,38;44,88
179;51,57;19,35;1,93;50,29;44,29
179;51,57;19,35;2,9;50,29;44,89
179;51,57;19,35;4,83;48,7;43,7
179;51,57;19,35;6,77;43,93;39,93
179;51,57;19,35;8,7;39,79;36,49
179;51,57;19,35;10,64;35,01;32,31
179;51,57;19,35;12,57;28,97;27,17
179;51,57;19,35;14,51;21,65;20,15
179;51,57;19,35;16,44;15,72;15,22
179;51,57;19,35;18,38;9,23;9,23
181;38,2;24,87;0,04;46,81;41,41
181;38,2;24,87;0,24;43,28;37,88
181;38,2;24,87;0,49;41,05;35,65
181;38,2;24,87;0,74;39,37;34,47
181;38,2;24,87;0,99;38,67;33,77
181;38,2;24,87;1,24;37,94;35,44
181;38,2;24,87;2,48;36,22;33,72
181;38,2;24,87;3,73;34,7;32,2
181;38,2;24,87;6,21;32,47;29,97
181;38,2;24,87;8,7;29,92;27,42
181;38,2;24,87;11,19;27,47;25,67
181;38,2;24,87;13,67;25,46;24,36
181;38,2;24,87;16,16;23,24;22,14
181;38,2;24,87;18,5;18,78;17,68
181;38,2;24,87;21,13;11,2;10,6
181;38,2;24,87;23,62;2,55;2,35
184;21,74;20,72;0,12;31,19;22,99
184;21,74;20,72;0,21;27,69;21,69
184;21,74;20,72;0,41;26,29;21,59
184;21,74;20,72;0,62;24,92;20,92
184;21,74;20,72;0,83;24,67;20,87
184;21,74;20,72;1,04;22,57;20,57
184;21,74;20,72;2,07;19,89;18,09
184;21,74;20,72;3,11;18,78;17,48
184;21,74;20,72;5,18;17,41;16,41
184;21,74;20,72;7,25;15,76;15,06
184;21,74;20,72;9,32;14,58;13,78
184;21,74;20,72;11,4;13,4;13,1
184;21,74;20,72;13,47;10,6;10,4
184;21,74;20,72;15,54;8,69;8,49
184;21,74;20,72;17,61;7,32;7,12
184;21,74;20,72;19,68;3,18;2,98
185;25,91;24,57;0,12;37,24;27,24
185;25,91;24,57;0,25;34,06;25,36
185;25,91;24,57;0,49;29,6;23
185;25,91;24,57;0,74;29,13;24,43
185;25,91;24,57;0,98;27,18;22,98
185;25,91;24,57;1,23;26,96;23,16
185;25,91;24,57;2,46;23,52;22,12
185;25,91;24,57;3,69;23,14;19,54
185;25,91;24,57;6,14;20,88;17,58
185;25,91;24,57;8,6;18,49;16,19
185;25,91;24,57;11,06;16,87;15,27
185;25,91;24,57;13,51;15,57;13,97
185;25,91;24,57;15,97;13,31;12,31
185;25,91;24,57;18,43;11,05;10,85
185;25,91;24,57;20,88;7,77;7,57
185;25,91;24,57;23,29;3,5;3,3
186;31,39;22,17;0,08;40,81;34,11
186;31,39;22,17;0,22;37,08;32,48
186;31,39;22,17;0,44;34,76;29,56
186;31,39;22,17;0,67;33,74;29,44
186;31,39;22,17;0,89;32,34;28,04
186;31,39;22,17;1,11;31,8;27,3
186;31,39;22,17;2,22;29,28;26,18
186;31,39;22,17;3,33;27,85;25,75
186;31,39;22,17;5,54;26,23;24,83
186;31,39;22,17;7,76;25,43;24,63
186;31,39;22,17;9,98;21,8;21
186;31,39;22,17;12,19;20,69;19,89
186;31,39;22,17;14,41;19,13;18,53
186;31,39;22,17;16,63;15,92;15,52
186;31,39;22,17;18,84;10,92;10,52
186;31,39;22,17;21,06;3,63;3,43
187;36,92;23,65;0,1;47,75;36,15
187;36,92;23,65;0,24;43;35,4
187;36,92;23,65;0,47;40,62;34,42
187;36,92;23,65;0,71;38,67;32,87
187;36,92;23,65;0,95;37,82;33,82
187;36,92;23,65;1,18;37,4;33,4
187;36,92;23,65;2,37;33,58;31,78
187;36,92;23,65;3,55;32,88;31,38
187;36,92;23,65;5,91;31,35;30,45
187;36,92;23,65;8,28;29,63;29,03
