arv;hi;dicc;dap;ht
15;3,1;49,3;56,4;31
15;4,7;47,3;56,4;31
15;7,8;44;56,4;31
15;10,9;40,8;56,4;31
15;13,9;36;56,4;31
15;17;32,2;56,4;31
15;20,1;26;56,4;31
15;23,3;21,8;56,4;31
15;26,4;13,5;56,4;31
15;29,5;4,6;56,4;31
15;31;0;56,4;31
9;0;65,3;57,4;27,9
9;0,3;61,5;57,4;27,9
9;0,6;58,8;57,4;27,9
9;0,8;57,8;57,4;27,9
9;1,1;58,2;57,4;27,9
9;1,4;55,5;57,4;27,9
9;2,8;50,5;57,4;27,9
9;4,2;48,3;57,4;27,9
9;7;42,5;57,4;27,9
9;9,8;41,3;57,4;27,9
9;12,6;38,8;57,4;27,9
9;15,3;33,3;57,4;27,9
9;18,1;26,5;57,4;27,9
9;20,9;18,8;57,4;27,9
9;23,7;10,9;57,4;27,9
9;26,5;3,5;57,4;27,9
9;27,9;0;57,4;27,9
