"idamostra";"idade1";"hdom1";"licl5";"lscl5";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
10;38,8;19,9;13,0441265644638;15,156088858098;17,386629744342;19,7319259198362;22,1885638881965;24,7534696711668;2;1;2
10;48,75;23,72;16,3036537900073;18,4877420200473;20,7414128364528;23,060935712926;25,4430508666253;27,8848804943017;2;1;2
10;63,01;27,73;20,069492164212;22,2476682520637;24,4470303970418;26,6660296869136;28,9033395396393;31,1578103166194;2;1;2
10;73,52;29,4;22,3232788258033;24,4602606697171;26,5941938038931;28,7253310992031;30,8538869147481;32,9800452627514;2;1;2
10;86,14;30,45;24,5926852340785;26,663648458568;28,7108634585382;30,7365103477776;32,7424200049513;34,7301505926972;3;1;3
11;29,47;15,5;9,40735896975732;11,3274770758879;13,4256972347824;15,7020053410776;18,1563883984813;20,7888343579276;3;2;3
11;41,56;19,66;14,0087305275299;16,1506158192084;18,3959911510629;20,7408071133635;23,1814731209171;25,714776198814;3;2;3
11;55,81;22,12;18,2847365337388;20,4763067826079;22,710803443431;24,985461162501;27,2978901320233;29,6460020346936;4;2;4
11;66,33;22,76;20,822826937325;22,9901110448841;25,1700762247538;27,3617520426084;29,5643103121671;31,7770356677552;5;2;5
11;78,94;25,42;23,3495233768197;25,4595389078175;27,5566828245094;29,642075805905;31,7166637373693;33,7812553456824;5;2;5
12;29,47;15,96;9,40735896975732;11,3274770758879;13,4256972347824;15,7020053410776;18,1563883984813;20,7888343579276;2;2;2
12;41,56;20,12;14,0087305275299;16,1506158192084;18,3959911510629;20,7408071133635;23,1814731209171;25,714776198814;3;2;3
12;55,81;22,18;18,2847365337388;20,4763067826079;22,710803443431;24,985461162501;27,2978901320233;29,6460020346936;4;2;4
12;66,33;25,12;20,822826937325;22,9901110448841;25,1700762247538;27,3617520426084;29,5643103121671;31,7770356677552;4;2;4
12;78,94;27,76;23,3495233768197;25,4595389078175;27,5566828245094;29,642075805905;31,7166637373693;33,7812553456824;3;2;3
13;41,56;22,02;14,0087305275299;16,1506158192084;18,3959911510629;20,7408071133635;23,1814731209171;25,714776198814;2;0;2
13;55,81;26,48;18,2847365337388;20,4763067826079;22,710803443431;24,985461162501;27,2978901320233;29,6460020346936;2;0;2
13;66,33;29,04;20,822826937325;22,9901110448841;25,1700762247538;27,3617520426084;29,5643103121671;31,7770356677552;2;0;2
13;78,94;31,22;23,3495233768197;25,4595389078175;27,5566828245094;29,642075805905;31,7166637373693;33,7812553456824;2;0;2
14;41,56;20,86;14,0087305275299;16,1506158192084;18,3959911510629;20,7408071133635;23,1814731209171;25,714776198814;2;2;2
14;55,81;22,52;18,2847365337388;20,4763067826079;22,710803443431;24,985461162501;27,2978901320233;29,6460020346936;4;2;4
14;66,33;25,36;20,822826937325;22,9901110448841;25,1700762247538;27,3617520426084;29,5643103121671;31,7770356677552;3;2;3
14;78,94;28,1;23,3495233768197;25,4595389078175;27,5566828245094;29,642075805905;31,7166637373693;33,7812553456824;3;2;3
15;29,63;12,12;9,47467123851016;11,3996535783545;13,5016264905798;15,7804498398764;18,2359945980362;20,8681412168283;4;1;4
15;41,72;18,58;14,0631634917918;16,2065098747784;18,4525082684407;20,7971037715678;23,2367022739699;25,7680887571364;3;1;3
16;41,72;20,74;14,0631634917918;16,2065098747784;18,4525082684407;20,7971037715678;23,2367022739699;25,7680887571364;3;0;3
17;29,34;12,88;9,35254489423837;11,2686602950515;13,3637822250596;15,6380011200411;18,0914003519167;20,7240572562843;4;1;4
17;41,43;20,78;13,9643856040187;16,1050630662897;18,3499143972317;20,6948952024049;23,1364182471332;25,6712726480883;2;1;2
18;41,43;19,36;13,9643856040187;16,1050630662897;18,3499143972317;20,6948952024049;23,1364182471332;25,6712726480883;3;0;3
19;31,41;14,36;10,2120919479723;12,1867913225592;14,3262718286096;16,6291735768276;19,0942534663901;21,7203673836311;3;1;3
19;43,5;22,02;14,6580444237292;16,815841136033;19,0672322367849;21,4081485455334;23,8349976768764;26,3445779920592;2;1;2
20;31,41;15,72;10,2120919479723;12,1867913225592;14,3262718286096;16,6291735768276;19,0942534663901;21,7203673836311;3;1;3
20;43,5;22,64;14,6580444237292;16,815841136033;19,0672322367849;21,4081485455334;23,8349976768764;26,3445779920592;2;1;2
21;43,5;17,46;14,6580444237292;16,815841136033;19,0672322367849;21,4081485455334;23,8349976768764;26,3445779920592;4;0;4
22;43,5;25,6;14,6580444237292;16,815841136033;19,0672322367849;21,4081485455334;23,8349976768764;26,3445779920592;1;0;1
23;30,65;15,2;9,89982338326029;11,8542537780737;13,9786400822578;16,2721039864144;18,7338402064356;21,363105531796;3;1;3
23;42,74;22,62;14,4064316083604;16,5584521960124;18,8078752706247;21,1506277190875;23,5831076747995;26,1021000942969;2;1;2
24;26,25;12,8;8,01851009112561;9,82496991761587;11,8321274962733;14,0431971243874;16,4611862488887;19,0889230087097;3;1;3
24;38,34;20,66;12,8785622554863;14,9845958919788;17,2118401797969;19,5565370013085;22,0153269247743;24,5851812161745;2;1;2
25;25,53;14,42;7,69963363615953;9,47613419470982;11,458368238595;13,6504801089573;16,0563626130376;18,6796896925493;2;2;2
25;37,61;16,76;12,6129517779943;14,7089697089736;16,9304442868237;19,2737395366471;21,7355986763186;24,3130800635423;4;2;4
25;51,87;19,9;17,209891024154;19,4004946294349;21,6481679484695;23,9495594943567;26,3017559405343;28,7021977117087;4;2;4
25;62,39;21,62;19,9241921822278;22,1041222828324;24,3069251369983;26,530943959229;28,7747587823669;31,0371382410832;5;2;5
25;75;25,1;22,6118690578965;24,7417649297019;26,8657727461748;28,9843878311866;31,0980295509821;33,2070574897392;4;2;4
26;24,54;16,44;7,25679200523805;8,98904810436294;10,9338802191012;13,0968578570706;15,4832423854998;18,0980255721133;1;0;1
26;36,79;22,58;12,3103650965792;14,3941992566622;16,6083602079326;18,9493786982;21,4141399996277;23,9998246897685;1;0;1
27;36,79;23,06;12,3103650965792;14,3941992566622;16,6083602079326;18,9493786982;21,4141399996277;23,9998246897685;1;0;1
28;24,64;15,42;7,30174095393067;9,03863276841739;10,9874152897519;13,1535059605194;15,5420194577152;18,1578057132519;2;1;2
28;36,89;22,43;12,3475068355035;14,4328815913765;16,6479835392853;18,9893213294785;21,4537613046729;24,0384676683247;1;1;1
29;28,19;17,6;8,86292269516932;10,7415851271484;12,8072999432868;15,0611704317266;17,5042189820869;20,1373985067648;1;1;1
29;40,44;22,72;13,6231812698819;15,7540328814297;17,9943526209565;20,3401514013397;22,787882594405;25,3343646615275;2;1;2
30;40,44;23,02;13,6231812698819;15,7540328814297;17,9943526209565;20,3401514013397;22,787882594405;25,3343646615275;1;0;1
31;20,93;9,96;5,60905337407295;7,14607254929688;8,91863320055588;10,9392048336695;13,2198623386589;15,7723269934785;3;0;3
31;33,18;16,22;10,9241872861189;12,9410208094897;15,1108499660779;17,4313926029302;19,9005760607272;22,516504131829;3;0;3
32;29,07;14,6;9,23835013858809;11,146005491827;13,2345496409959;15,5042964054619;17,9555354348006;20,5885357010147;3;0;3
32;42,18;20,36;14,2187685402622;16,366161814546;18,6138198457333;20,9576760112912;23,3941296343703;25,9199629776781;3;0;3
33;42,18;19,72;14,2187685402622;16,366161814546;18,6138198457333;20,9576760112912;23,3941296343703;25,9199629776781;3;0;3
34;28,19;14,1;8,86292269516932;10,7415851271484;12,8072999432868;15,0611704317266;17,5042189820869;20,1373985067648;3;0;3
34;41,29;18,5;13,9165107777345;16,055866537086;18,3001355389252;20,6452793541799;23,0877148529276;25,6242338448185;3;0;3
35;28,09;12,52;8,81995162143208;10,6951776426617;12,758158605541;15,0100937252025;17,452094804386;20,0851985404436;4;0;4
35;41,2;17,64;13,8856689339324;16,0241634470797;18,2680481287561;20,6132886981329;23,0563049400272;25,5938906403426;4;0;4
36;41,2;19,02;13,8856689339324;16,0241634470797;18,2680481287561;20,6132886981329;23,0563049400272;25,5938906403426;3;0;3
37;28,42;14,78;8,96151894162047;10,8479735647817;12,9198660841663;15,1780840794159;17,6234491730847;20,2567264007317;3;0;3
37;41,52;20,44;13,995097230343;16,1366128676903;18,3818286739766;20,7266967293759;23,1676274327862;25,7014084113286;3;0;3
38;28,55;14,54;9,01710008158267;10,9078909780978;12,9832082154352;15,2438204381699;17,6904387486536;20,3237249100337;3;1;3
38;41,66;18,34;14,0427699066298;16,185571655442;18,4313392102611;20,7760196418842;23,2160200853107;25,7481262204501;4;1;4
39;28,81;17,98;9,12794099007849;11,0272593182229;13,1092833433574;15,3745501719901;17,8235561177698;20,456762556484;1;1;1
39;41,92;22,84;14,1309797302323;16,2761134212106;18,5228571677038;20,867150241189;23,3053950356072;25,8343747838997;2;1;2
40;41,92;18,12;14,1309797302323;16,2761134212106;18,5228571677038;20,867150241189;23,3053950356072;25,8343747838997;4;0;4
41;28,98;11,38;9,20018068160932;11,1049714606487;13,1912795064718;15,4594950106014;17,9099782562897;20,5430639300204;4;0;4
41;42,08;17,8;14,1850533104228;16,3315859911904;18,5788996171623;20,9229296109351;23,3600762825015;25,8871220961828;4;0;4
42;34,26;18,58;11,3481902373482;13,3875456734193;15,5729119823552;17,9015643611002;20,3710371954571;22,9790824077258;2;1;2
42;48,55;22,1;16,2438059608;18,4272720508551;20,6811654326824;23,001734843529;25,3857012174981;27,830168779044;3;1;3
42;62,19;25,08;19,8770009834855;22,0574762139801;24,2613752166342;26,4870064560567;28,7329198502989;30,9978576531963;3;1;3
43;34,26;16,3;11,3481902373482;13,3875456734193;15,5729119823552;17,9015643611002;20,3710371954571;22,9790824077258;3;1;3
